ESTABLECIMIENTO;DIRECCION;LOCALIDAD;BARRIO;ZONA_SITP;FECHA CORTE
CAFE INTERNET AT PAPERS;AVENIDA CALLE 72 No 77A - 69;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
INTERNET Y EXHIBICION DE MUEBLES EN MARMOL SO;CARRERA 82  NRO 70 A - 33;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
CAFE INTERNET LAURISSS COMUNICACIONES;CALLE 69A No 77C - 35 PISO 1;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
CAFE INTERNET CONECFON;CALLE 71 A  No 75 - 36;ENGATIVA;BOYACA;Engativa;01/09/2014
PAPELERIA INGENIOS;CARRERA 74A No 66A - 44;ENGATIVA;BOYACA;Engativa;01/09/2014
MISCELANEA 23;CARRERA 23 No 71 - 69;ENGATIVA;BOYACA;Engativa;01/09/2014
ALMACEN DE ROPA COLOMBIA JEANS;CARRERA 77A No 69A - 48;ENGATIVA;BOYACA;Engativa;01/09/2014
VCA LAS NUEVAS CARAS DE LA COMUNICACION;CARRERA 77A No 67 16;ENGATIVA;BOYACA;Engativa;01/09/2014
CAFE INTERNET NAVEGADORES WEB;CALLE 69A No 77 - 77 LOCAL 2;ENGATIVA;BOYACA;Engativa;01/09/2014
ENVIOS SERVIENTREGA;AVENIDA CALLE 68 No 76 - 19 DIRECCION ANTIGUA;ENGATIVA;BOYACA;Engativa;01/09/2014
CACHARRERIA FLAZ;CALLE 73 A No 71 - 24;ENGATIVA;BOYACA;Engativa;01/09/2014
PAPELERIA HERACOL;CALLE 66A No 72A - 18;ENGATIVA;BOYACA;Engativa;01/09/2014
CAFE INTERNET LA PROVISION;CARRERA 75 NO 70 - 74;ENGATIVA;BOYACA;Engativa;01/09/2014
PAPELERIA EL MILENIO;CARRERA 77A No 67 - 10;ENGATIVA;BOYACA;Engativa;01/09/2014
INMOBILIARIA GALEANOS GIL Y ASOCIADOS CIA LTDA;AVENIDA CALLE 72 No 76 - 05;ENGATIVA;BOYACA;Engativa;01/09/2014
CABINAS TELEFONICAS GP;AVENIDA CARRERA 68 No 67F - 68;ENGATIVA;EL LAUREL;Engativa;01/09/2014
CABINAS TELEFONICAS COMUNICACIONES P Y P;CALLE 66A No 71 - 72;ENGATIVA;EL LAUREL;Engativa;01/09/2014
CAFE INTERNET SPEED INTERNET Y PAPELERIA;CARRERA 71 No 67 - 02;ENGATIVA;EL LAUREL;Engativa;01/09/2014
DROGUERIA SANUS;CALLE 66 A  NRO 97 - 38;ENGATIVA;LOS ANGELES;Engativa;01/09/2014
CAFE INTERNET ALAMOS ANGELES;CALLE 69 No 97A - 20;ENGATIVA;LOS ANGELES;Engativa;01/09/2014
CAFETERIA RN LEO Y CAFE INTERNET;CARRERA 111B No 64D 02;ENGATIVA;SAN ANTONIO URBANO;Engativa;01/09/2014
CAFE INTERNET TELECOMUNICACIONES GRACIAS A DIOS;CALLE 64D No 110D - 60;ENGATIVA;SAN ANTONIO URBANO;Engativa;01/09/2014
PAPELERIA Y MISCELANEA YAYITA;AVENIDA CALLE 72 No 104 - 23;ENGATIVA;ALAMOS;Calle 80;01/09/2014
CAFE INTERNET VERDADERO MERCADIARIO;CR 111C No 75C - 38;ENGATIVA;VILLAS DE GRANADA;Calle 80;01/09/2014
